latitude,longitude,lease,operator,fake_number
32.370107,-102.676562,UNIVERSITY `3-14`,BIG D ENERGY COMPANY,73
32.146957,-102.893542,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,46
32.479503,-102.794099,LOWE BITLER UNIT,SHERIDAN PRODUCTION COMPANY LLC,64
32.222153,-102.248894,MABEE UNIT,CHEVRON U S A INCORPORATED,10
32.485236,-102.803869,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,36
32.156978,-102.904044,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,14
32.156978,-102.904044,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,18
32.156978,-102.904044,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,64
32.341515,-102.622319,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,67
32.227957,-102.212827,MABEE UNIT,CHEVRON U S A INCORPORATED,6
32.489020,-102.800598,FULLERTON SAN ANDRES UNIT,DEVON ENERGY PRODUCTION COMPANY L P,9
32.485411,-102.810498,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,67
32.205753,-102.572149,UNIVERSITY `9A`,XTO ENERGY INCORPORATED,57
32.197110,-102.577980,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,28
32.470512,-102.795119,BITLER,CONOCOPHILLIPS COMPANY,37
32.196455,-102.583890,UNIVERSITY 9 C,XTO ENERGY INCORPORATED,41
32.196455,-102.583890,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
32.409125,-102.317593,UNIVERSITY 8-2,PIEDRA OPERATING LLC,62
32.189746,-102.571608,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
32.207074,-102.580669,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,8
32.198971,-102.585900,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,77
32.198971,-102.585900,UNIVERSITY 9 C 6H,XTO ENERGY INCORPORATED,44
32.204986,-102.220719,MABEE UNIT,CHEVRON U S A INCORPORATED,94
32.215248,-102.221751,MABEE UNIT,CHEVRON U S A INCORPORATED,61
32.200172,-102.579483,UNIVERSITY 9B,XTO ENERGY INCORPORATED,87
32.191556,-102.573669,STATE UNIVERSITY `AU`,XTO ENERGY INCORPORATED,15
32.191556,-102.573669,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,38
32.194488,-102.585940,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,79
32.199481,-102.576220,UNIVERSITY 9B,XTO ENERGY INCORPORATED,54
32.346175,-102.681686,UNIVERSITY `13-14` SOUTH,BIG D ENERGY COMPANY,6
32.202709,-102.577133,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,55
32.201547,-102.586703,TEXAS `Q`,XTO ENERGY INCORPORATED,33
32.118167,-102.718473,UNIVERSITY `G`,SHERIDAN PRODUCTION COMPANY LLC,60
32.209219,-102.577742,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,87
32.209219,-102.577742,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,47
32.190556,-102.567222,TEXAS N,XTO ENERGY INCORPORATED,63
32.195873,-102.575586,UNIVERSITY `9B`,XTO ENERGY INCORPORATED,92
32.195873,-102.575586,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,8
32.195873,-102.575586,UNIVERSITY 9B,XTO ENERGY INCORPORATED,68
32.358767,-102.355764,FASKEN BLOCK `CB` A/C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,64
32.201380,-102.570873,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
32.192660,-102.559533,UNIVERSITY `9` CEC,XTO ENERGY INCORPORATED,25
32.192660,-102.559533,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,90
32.202121,-102.560591,UNIVERSITY `9CEC`,XTO ENERGY INCORPORATED,61
32.202121,-102.560591,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,21
32.181974,-102.572968,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,75
32.181974,-102.572968,UNIVERSITY BLK 9 (PENN) UNIT,XTO ENERGY INCORPORATED,6
32.181974,-102.572968,UNIVERSITY 9D,XTO ENERGY INCORPORATED,54
32.194642,-102.568414,TEXAS` N`,XTO ENERGY INCORPORATED,39
32.148003,-102.600054,STATE `FI`,AMERICO ENERGY RESOURCES LLC,14
32.349853,-102.337847,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,60
32.349853,-102.337847,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
32.349853,-102.337847,FASKEN C B A-C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,65
32.208314,-102.573674,UNIVERSITY 9 `A`,XTO ENERGY INCORPORATED,88
32.208314,-102.573674,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,68
32.208314,-102.573674,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,56
32.234693,-102.632281,BONER-FORD,BREITBURN OPERATING LIMITED PARTNERSHIP,85
32.190444,-102.556277,UNIVERSITY `9-H`,XTO ENERGY INCORPORATED,41
32.190444,-102.556277,UNIVERSITY 9 H,XTO ENERGY INCORPORATED,37
32.286625,-102.827163,LOTUS,LOTUS L L C,77
32.184669,-102.561494,STATE OF TEXAS BH,XTO ENERGY INCORPORATED,40
32.183968,-102.571746,UNIVERSITY `9` D,XTO ENERGY INCORPORATED,14
32.211000,-102.563800,TEXAS `L`,XTO ENERGY INCORPORATED,28
32.211000,-102.563800,TEXAS L,XTO ENERGY INCORPORATED,70
32.210448,-102.586341,TEXAS Q,XTO ENERGY INCORPORATED,67
32.189681,-102.579647,STATE UNIVERSITY `AT`,XTO ENERGY INCORPORATED,16
32.189681,-102.579647,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,37
32.146220,-102.374955,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,26
32.205295,-102.558978,UNIVERSITY 9 CEC,XTO ENERGY INCORPORATED,58
32.184781,-103.034586,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,69
32.201849,-102.580863,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,72
32.185783,-103.056703,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,27
32.222632,-102.472271,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,17
32.222632,-102.472271,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,76
32.174257,-102.513327,UNIVERSITY 1-26,EOG RESOURCES INCORPORATED,87
32.209295,-102.501373,UNIVERSITY 1-16,WILBANKS RESERVE CORPORATION,12
32.506192,-102.611103,HAIR OF THE DOG,RING ENERGY INCORPORATED,66
32.203814,-102.573282,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
32.128944,-102.650847,UNIVERSITY,SANDRIDGE EXPLORATION & PRODUCTION LLC,62
32.219186,-102.822853,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,68
32.187806,-102.738281,UNIVERSITY 6N,SHERIDAN PRODUCTION COMPANY LLC,94
32.337603,-102.631444,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,77
32.420027,-102.639884,FISHER 4,LIME ROCK RESOURCES IV A LP,100
32.416617,-102.646025,FISHER 4,LIME ROCK RESOURCES IV A LP,52
32.334433,-102.628772,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,86
32.211211,-102.568430,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,13
32.341985,-102.635605,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,35
32.329773,-102.632517,SHAFTER LAKE-SAN ANDRES-UNIT,APACHE CORPORATION,47
32.152970,-102.746740,PHILLIPS UNIVERSITY -O-,SHERIDAN PRODUCTION COMPANY LLC,95
32.329448,-102.632536,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
32.173025,-102.690294,FUHRMAN MASCHO SOUTH UNIT,SHERIDAN PRODUCTION COMPANY LLC,81
32.104147,-102.930081,BRUCE & BAR 73-18,MAVERICK OPERATING COMPANY LLC,16
32.257738,-102.669286,FLEMING -A-,SHERIDAN PRODUCTION COMPANY LLC,4
32.138958,-102.825986,UNIVERSITY `B11` 18,MEWBOURNE OIL COMPANY,77
32.417367,-102.632608,FISHER 4,LIME ROCK RESOURCES IV A LP,80
32.415034,-102.642470,FISHER 4,LIME ROCK RESOURCES IV A LP,38
32.220236,-102.817431,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,20
32.416717,-102.635286,FISHER 4,LIME ROCK RESOURCES IV A LP,48
32.402906,-102.729833,UNIVERSITY -YZ-,OXY USA WTP LP,88
32.144183,-102.826903,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,58
32.138426,-102.830623,UNIVERSITY `B11` `18`,MEWBOURNE OIL COMPANY,72
32.390867,-102.617719,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,82
32.159644,-102.601547,STATE AQ,GREYSTONE PETROLEUM LLC,43
32.454077,-102.344394,UNIVERSITY LANDS 5-22,PIEDRA OPERATING LLC,57
32.392256,-102.611917,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,100
32.480467,-102.361660,UNIVERSITY LANDS CONSOLIDATED UNIT 5-9,ZARVONA ENERGY LLC,73
32.163769,-102.648753,UNIVERSITY 24A,SHERIDAN PRODUCTION COMPANY LLC,84
32.326503,-102.618308,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,60
32.326372,-102.617678,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,22
32.266261,-102.719556,RANCH 4,SHERIDAN PRODUCTION COMPANY LLC,90
32.340172,-102.632450,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,72
32.265306,-102.882401,UNIVERSITY 12-10,DEVON ENERGY PRODUCTION COMPANY L P,68
32.391478,-102.740316,UB 13-14,LIME ROCK RESOURCES IV A LP,28
32.159950,-102.822933,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,68
32.329769,-102.633017,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,39
32.428682,-102.688782,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,50
32.413164,-102.684109,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,13
32.220830,-102.823190,UNIVERSITY 12-25 SOUTHEAST,SHERIDAN PRODUCTION COMPANY LLC,91
32.520381,-102.898300,ECLIPSE,TEXLAND PETROLEUM LIMITED PARTNERSHIP,9
32.391568,-102.614808,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,27
32.389979,-102.621483,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,48
32.142207,-102.822847,THREE BAR SHALLOW UNIT,APACHE CORPORATION,30
32.133864,-102.485658,UNIVERSITY `36` PINNACLE,ZARVONA ENERGY LLC,86
32.257073,-102.640511,GOWENS J W -A-,SHERIDAN PRODUCTION COMPANY LLC,17
32.143639,-102.819281,THREE BAR SHALLOW UNIT,APACHE CORPORATION,63
32.144006,-102.823823,THREE BAR SHALLOW UNIT,APACHE CORPORATION,56
32.414863,-102.643277,FISHER 9,LIME ROCK RESOURCES IV A LP,18
32.388627,-102.618374,WELBORN 20,PACESETTER ENERGY INCORPORATED,42
32.390631,-102.610069,WELBORN 20,PACESETTER ENERGY INCORPORATED,34
32.157595,-102.794971,THREE BAR SHALLOW UNIT,APACHE CORPORATION,41
32.419041,-102.625520,FISHER 5,LIME ROCK RESOURCES IV A LP,9
32.091114,-102.791517,UNIVERSITY `B11-32`,MEWBOURNE OIL COMPANY,89
32.418452,-102.620808,FISHER 8,LIME ROCK RESOURCES IV A LP,12
32.164208,-102.484883,UNIVERSITY 29 SAWGRASS,ZARVONA ENERGY LLC,71
32.404181,-102.721979,UNIVERSITY -YZ-,OXY USA WTP LP,57
32.213208,-102.528519,UNIVERSITY 7 `BERKLEY`,ZARVONA ENERGY LLC,59
32.410356,-102.724999,UNIVERSITY LANDS 13 KEENE 34,LIME ROCK RESOURCES IV A LP,94
32.389619,-102.614261,WELBORN 20,PACESETTER ENERGY INCORPORATED,10
32.284508,-102.698131,LINDLEY -A-,ARES ENERGY LIMITED,60
32.165272,-102.468397,UNIVERSITY `30` COBRA,ZARVONA ENERGY LLC,72
32.434696,-102.689239,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,30
32.391505,-102.606445,WELBORN `20`,PACESETTER ENERGY INCORPORATED,90
32.106493,-102.787092,UNIVERSITY `B11 28`,MEWBOURNE OIL COMPANY,44
32.143697,-102.814276,THREE BAR SHALLOW UNIT,APACHE CORPORATION,80
32.145625,-102.820114,THREE BAR SHALLOW UNIT,APACHE CORPORATION,70
32.480341,-102.283741,UNIVERSITY 6-23 UNIT,W&T OFFSHORE INCORPORATED,97
32.181350,-102.482798,UNIVERSITY `29` SAWGRASS POOLED UNIT,ZARVONA ENERGY LLC,8
32.385332,-102.757438,UNIVERSITY LANDS 13 DUBLIN,LIME ROCK RESOURCES IV A LP,88
32.427974,-102.261490,UNIVERSITY 6-48,W&T OFFSHORE INCORPORATED,52
32.153882,-102.798568,THREE BAR SHALLOW UNIT,APACHE CORPORATION,83
32.147907,-102.811251,THREE BAR SHALLOW UNIT,APACHE CORPORATION,60
32.148756,-102.807706,THREE BAR SHALLOW UNIT,APACHE CORPORATION,11
32.151466,-102.796612,THREE BAR SHALLOW UNIT,APACHE CORPORATION,40
32.151358,-102.800407,THREE BAR SHALLOW UNIT,APACHE CORPORATION,84
32.446193,-102.622724,DOW-HALL,TESSARA PETROLEUM RESOURCES LLC,58
32.517847,-102.213432,UNIVERSITY 6-13 UNIT,W&T OFFSHORE INCORPORATED,71
32.462603,-102.241483,UNIVERSITY 6-32,W&T OFFSHORE INCORPORATED,92
32.415549,-102.639881,FISHER 9,LIME ROCK RESOURCES IV A LP,38
32.392900,-102.606840,FISHER EARLENE 17,LIME ROCK RESOURCES IV A LP,14
32.138428,-102.830889,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,99
32.416941,-102.601390,FISHER 76,LIME ROCK RESOURCES IV A LP,71
32.091375,-102.722217,BUM -A-,CONOCOPHILLIPS COMPANY,90
32.090328,-102.726703,BUM -A-,CONOCOPHILLIPS COMPANY,62
32.434761,-102.223772,UNIVERSITY LANDS III 4,DIAMONDBACK EXPLORATION & PROD LLC,50
32.124361,-102.220689,CROSS BAR RANCH,RSP PERMIAN LLC,3
32.351297,-102.259803,UNIVERSITY `7-43`,PIONEER NATURAL RESOURCES USA INC,53
32.154930,-102.793881,THREE BAR SHALLOW UNIT,APACHE CORPORATION,20
32.152092,-102.805100,THREE BAR SHALLOW UNIT,APACHE CORPORATION,26
32.149907,-102.804292,THREE BAR SHALLOW UNIT,APACHE CORPORATION,97
32.146587,-102.807354,THREE BAR SHALLOW UNIT,APACHE CORPORATION,6
32.341433,-102.436686,GLENNA,COG OPERATING LIMITED LIABILITY CORP,59
32.153667,-102.801253,THREE BAR SHALLOW UNIT,APACHE CORPORATION,16
32.249183,-102.409317,UNIVERSITY LANDS DIGGER,DIAMONDBACK EXPLORATION & PROD LLC,72
32.504069,-102.918370,BELLA,TEXLAND PETROLEUM LIMITED PARTNERSHIP,41
32.345441,-102.255940,UNIVERSITY `7-43`,PIONEER NATURAL RESOURCES USA INC,80
32.392676,-102.755794,UNIVERSITY LANDS 13 DUBLIN SA,LIME ROCK RESOURCES IV A LP,12
32.251678,-102.881402,UNIVERSITY 12-9,CIMAREX ENERGY COMPANY,55
32.099514,-102.812069,POWER BAR UNIVERSITY 30-31 UNIT,APACHE CORPORATION,45
32.102089,-102.813239,POWER BAR UNIVERSITY 30-31 UNIT,APACHE CORPORATION,96
32.145712,-102.815414,UNIVERSITY TB(SHALLOW) UNIT A-1,APACHE CORPORATION,92
32.147078,-102.812088,UNIVERSITY TB(SHALLOW) UNIT A-1,APACHE CORPORATION,62
32.293814,-102.281900,MABEE 240B,COG OPERATING LIMITED LIABILITY CORP,55
32.159067,-102.827206,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,83
32.392957,-102.609560,FISHER EARLENE STATE 17,LIME ROCK RESOURCES IV A LP,29
32.444636,-102.605590,DOW-HALL,TESSARA PETROLEUM RESOURCES LLC,99
32.389911,-102.739390,UNIVERSITY LANDS 13 JAFFREY,LIME ROCK RESOURCES IV A LP,81
32.416615,-102.636565,FISHER 9B,LIME ROCK RESOURCES IV A LP,89
32.437223,-102.620949,SAVAGE,TESSARA PETROLEUM RESOURCES LLC,35
32.189653,-102.827903,PARKER J E,XTO ENERGY INCORPORATED,45
32.188667,-102.832011,PARKER J E,XTO ENERGY INCORPORATED,19
32.434471,-102.672324,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,72
32.441456,-102.674643,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,69
32.415156,-102.608989,FISHER 76,LIME ROCK RESOURCES IV A LP,3
32.206386,-102.809586,CARMICHAEL,APACHE CORPORATION,7
32.207294,-102.805856,CARMICHAEL,APACHE CORPORATION,11
32.207897,-102.810428,CARMICHAEL,APACHE CORPORATION,59
32.501225,-102.917428,ALLAR PU,TEXLAND PETROLEUM LIMITED PARTNERSHIP,4
32.289933,-102.224189,MABEE 24,COG OPERATING LIMITED LIABILITY CORP,9
32.220319,-102.814583,PARKER OLA STATE 6,APACHE CORPORATION,64
32.415529,-102.633246,FISHER 9C,LIME ROCK RESOURCES IV A LP,55
32.481434,-102.679939,MILAN,LIME ROCK RESOURCES IV A LP,81
32.408063,-102.734333,UNIVERSITY LANDS 13 KEENE,LIME ROCK RESOURCES IV A LP,59
32.394402,-102.732077,UB 13-14,LIME ROCK RESOURCES IV A LP,51
32.388677,-102.745727,UB 13-14,LIME ROCK RESOURCES IV A LP,13
32.190567,-102.824280,PARKER J E,XTO ENERGY INCORPORATED,11
32.152369,-102.802509,THREE BAR SHALLOW UNIT,APACHE CORPORATION,95
32.175083,-102.501603,UNIVERSITY 25 UNIT,ELEVATION RESOURCES LLC,14
32.250142,-102.404345,UNIVERSITY LANDS DIGGER,DIAMONDBACK EXPLORATION & PROD LLC,15
32.352089,-102.262228,UNIVERSITY `7-43`,PIONEER NATURAL RESOURCES USA INC,67
32.352067,-102.262322,UNIVERSITY 7-43,PIONEER NATURAL RESOURCES USA INC,31
32.140956,-102.835228,UNIVERSITY `B11 18`,MEWBOURNE OIL COMPANY,50
32.161011,-102.775047,UNIVERSITY 11,OXY USA WTP LP,62
32.474480,-102.389439,UNIVERSITY MCFARLAND 8 UNIT,OXY USA INC,88
32.150869,-102.801856,THREE BAR SHALLOW UNIT,APACHE CORPORATION,76
32.433711,-102.236014,UNIVERSITY LANDS MASON UNIT,DIAMONDBACK EXPLORATION & PROD LLC,75
32.443228,-102.706937,UNIVERSITY LANDS 14 TRITON,LIME ROCK RESOURCES IV A LP,63
32.140450,-102.225989,CROSS BAR RANCH,RSP PERMIAN LLC,45
32.190173,-102.807204,PARKER J E,XTO ENERGY INCORPORATED,9
32.140519,-102.225819,CROSS BAR RANCH,RSP PERMIAN LLC,57
32.449144,-102.298250,UNIVERSITY LANDS BUMBLE UNIT 5-36,DIAMONDBACK EXPLORATION & PROD LLC,21
32.208439,-102.808206,CARMICHAEL,APACHE CORPORATION,40
32.221446,-102.809951,PARKER OLA STATE 6,APACHE CORPORATION,91
32.416632,-102.629991,FISHER 5,LIME ROCK RESOURCES IV A LP,43
32.416442,-102.629812,FISHER/GREAVES 8,LIME ROCK RESOURCES IV A LP,37
32.203009,-102.799377,CARMICHAEL,APACHE CORPORATION,68
32.208925,-102.799153,CARMICHAEL,APACHE CORPORATION,94
32.458023,-102.587276,WAYNE,LIME ROCK RESOURCES IV A LP,10
